,WS,WD,TI
2015-05-01 01:15:00,11.00536541936571,90.66299257872913,16.241385849717783
2015-05-01 01:16:00,11.697420198543776,75.00114657648503,11.391279088900157
2015-05-01 01:17:00,11.763014103269711,162.49746062884626,8.31117310229944
2015-05-01 01:18:00,12.186930223087426,222.44166269305782,7.108589023114681
2015-05-01 01:19:00,11.620468801138081,301.9965696290528,7.267841336023467
2015-05-01 01:20:00,10.973597532611503,211.43782308230223,7.015231943524628
2015-05-01 01:21:00,9.959169816373082,327.78332772873654,9.262716665715311
2015-05-01 01:22:00,10.230700675836932,352.46394909812307,10.198445733242517
2015-05-01 01:23:00,9.648089956102446,347.83505662779515,11.444124779132167
2015-05-01 01:24:00,10.183733913226188,351.39038339416356,8.212129945623444
2015-05-01 01:25:00,9.774853924391598,348.8304941819105,7.192643092060339
